brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
10368,for_sale,175000,3,1,60,553526,Berlin,New York,12022,1176,
22006,for_sale,425000,3,2,2.02,263302,Claverack,New York,12521,1600,44524
48310,for_sale,225000,4,2,0.24,871278,Copake,New York,12521,1239,43132
7797,for_sale,419000,3,3,1.9,286373,Copake,New York,12516,1800,
23402,for_sale,365000,3,2,2,78544,Copake,New York,12517,1482,
10368,for_sale,299999,4,1,4.2,423366,Copake,New York,12516,1500,38845
86078,for_sale,374900,3,2,2.9,828396,Hillsdale,New York,12529,1404,38708
32016,for_sale,375000,3,2,1.2,1427842,Millerton,New York,12546,1350,43343
23402,for_sale,365000,5,4,2,78544,Copake,New York,12517,1482,
52475,for_sale,203713,,,15.8,91301,Hillsdale,New York,12529,,
38575,for_sale,949000,5,4,100.88,1499866,Austerlitz,New York,12017,7500,
94682,for_sale,795000,,,30,1852855,Canaan,New York,12029,,
10710,for_sale,489900,3,2,10,1259936,Austerlitz,New York,12017,1152,36864
26779,for_sale,194900,4,3,1.29,1431678,Nassau,New York,12123,2274,
10211,for_sale,40000,2,1,0.2,1202236,Nassau,New York,12123,690,38687
10368,for_sale,125000,3,2,1,1531619,Hoosick Falls,New York,12090,980,
99005,for_sale,435000,3,2,5.01,1470895,East Chatham,New York,12060,2504,44144
52568,for_sale,429900,4,3,2.15,1213044,Valatie,New York,12184,2248,34309
38575,for_sale,299900,3,1,0.32,330084,Niverville,New York,12130,1608,
3438,for_sale,649000,4,4,12.8,1645610,Kinderhook,New York,12106,1980,39198
26848,for_sale,379500,4,3,0.28,1567871,Philmont,New York,12565,2080,
38575,for_sale,299900,3,1,0.32,330084,Kinderhook,New York,12106,1608,
9071,for_sale,49000,,,5,1450993,Canaan,New York,12029,,
38668,for_sale,100000,,,10,1953623,Hillsdale,New York,12529,,
94682,for_sale,299000,,,78,1866447,Canaan,New York,12029,,
94681,for_sale,495000,,,25.3,1839581,Austerlitz,New York,12017,,
9072,for_sale,349000,,,133.74,1983351,Canaan,New York,12029,,
54746,for_sale,625000,,,19.7,598446,Hillsdale,New York,12529,,44216
27628,for_sale,38500,,,8.98,1923520,Hoosick Falls,New York,12090,,
27628,for_sale,61900,3,2,0.2,871535,Berlin,New York,12090,1344,
39686,for_sale,759000,3,1,73,863172,Claverack,New York,12513,1800,
54745,for_sale,759000,3,1,73.04,863173,Claverack,New York,12513,1800,
23684,for_sale,34900,,,5,1935282,Pittstown,New York,12185,,
23402,for_sale,32900,,,0.34,148300,Copake,New York,12516,,40001
26849,for_sale,39500,,,0.22,1486107,Claverack,New York,12565,,
26849,for_sale,39500,,,0.22,1450895,Claverack,New York,12565,,
23684,for_sale,34900,,,1.29,897017,Pittstown,New York,12185,,
22550,for_sale,49000,,,2.4,1110796,Schodack Landing,New York,12123,,
89855,for_sale,89000,,,6.8,1937439,New Lebanon,New York,12212,,
89855,for_sale,139000,,,31.5,1937439,New Lebanon,New York,12212,,
54745,for_sale,759000,,,73.04,863173,Claverack,New York,12513,,
37676,for_sale,499000,,,18.9,1053780,Hillsdale,New York,12529,,42060
54745,for_sale,525000,,,31,1917424,Taghkanic,New York,12521,,
10368,for_sale,123000,3,1,1.45,1743456,Stephentown,New York,12168,1386,
27628,for_sale,29900,,,5.32,1904378,Grafton,New York,12138,,
45329,for_sale,34000,,,2.24,1260882,Hoosick,New York,12090,,
27628,for_sale,92500,3,2,1,439188,Hoosick,New York,12028,1056,
68030,for_sale,359000,,,43.69,1743402,Pittstown,New York,12094,,42247
54745,for_sale,879000,,,59,1000885,Copake,New York,12521,,
54745,for_sale,465000,,,50.3,1916811,Taghkanic,New York,12521,,
39686,for_sale,525000,,,32,1917424,Craryville,New York,12521,,
23402,for_sale,98000,,,6,791692,Hillsdale,New York,12529,,
56478,for_sale,129000,,,6,1637822,Hillsdale,New York,12529,,
56480,for_sale,129000,,,6,1637941,Hillsdale,New York,12529,,
10858,for_sale,1395000,,,103.4,1915768,Austerlitz,New York,12017,,
37676,for_sale,150000,,,1.2,548055,Hillsdale,New York,12529,,
22549,for_sale,2100000,2,1,274,834160,New Lebanon,New York,12125,2600,
7797,for_sale,849000,,7,1.1,983560,Austerlitz,New York,12017,7000,
7797,for_sale,849000,7,7,1.1,983560,Austerlitz,New York,12017,7000,
9072,for_sale,225000,,,22.7,1645935,Canaan,New York,12029,,39325
9071,for_sale,225000,,,22.7,1987371,Canaan,New York,12029,,
9072,for_sale,225000,,,22.7,1987371,Canaan,New York,12029,,
24097,for_sale,265000,,,11.28,1905924,Hillsdale,New York,12529,,
94681,for_sale,325000,,,16.7,1738940,Austerlitz,New York,12017,,
15932,for_sale,109900,,,4.1,1732904,Hillsdale,New York,12529,,
30768,for_sale,439000,3,2,1.85,1711966,Copake Falls,New York,12517,1657,
10368,for_sale,375000,,,75,1878357,Austerlitz,New York,12017,,
9072,for_sale,399000,,,133.74,1983351,Canaan,New York,12029,,
24097,for_sale,350000,,,19.68,1113420,Hillsdale,New York,12529,,39604
9072,for_sale,150000,,,40.1,1882334,Austerlitz,New York,12017,,
9071,for_sale,150000,,,14.87,1882334,Austerlitz,New York,12017,,
38575,for_sale,279000,6,4,0.77,828014,Canaan,New York,12029,5082,
16818,for_sale,245000,3,2,0.49,170597,Austerlitz,New York,12958,1302,
9072,for_sale,150000,,,14.87,1882334,Austerlitz,New York,12017,,
38575,for_sale,279000,6,5,0.7,828014,Canaan,New York,12029,5082,
9071,for_sale,190000,,,18.98,1882334,Austerlitz,New York,12017,,
9072,for_sale,190000,,,18.98,1882334,Austerlitz,New York,12017,,
9072,for_sale,190000,,,14.87,1882334,Austerlitz,New York,12017,,
22550,for_sale,299900,4,2,11.22,458246,Canaan,New York,12029,1931,44609
9071,for_sale,190000,1,1,0.5,331255,Copake,New York,12529,418,
23402,for_sale,245000,3,2,0.49,170592,Austerlitz,New York,12017,1302,
101697,for_sale,329000,4,2,6.9,1141857,Hillsdale,New York,12529,1900,37914
24097,for_sale,790000,3,2,4.25,1731932,Copake,New York,12517,1512,36195
21935,for_sale,625000,2,2,1.5,148013,Austerlitz,New York,12017,1834,
88137,for_sale,3500000,4,4,217,848914,Austerlitz,New York,12017,4000,42717
70767,for_sale,2150000,,,367,77169,Canaan,New York,12029,,
9071,for_sale,49000,,,5,1963639,Canaan,New York,12029,,
24605,for_sale,4800000,,,228.1,201805,Austerlitz,New York,12017,,42018
37676,for_sale,289000,3,3,2.34,1010197,Canaan,New York,12029,2000,
10368,for_sale,339000,4,5,0.51,1310371,New Lebanon,New York,12125,3133,43719
52568,for_sale,318464,,,24.7,653206,Hillsdale,New York,12529,,
24097,for_sale,75000,,,1,1926545,Copake Falls,New York,12517,,
104484,for_sale,100000,,,7.9,1969105,Canaan,New York,12029,,
58424,for_sale,625000,4,2,5.2,1300161,Copake Falls,New York,12517,2029,43761
38575,for_sale,369900,3,2,0.65,1724811,Canaan,New York,12029,1600,43958
52568,for_sale,203713,,,15.8,91299,Hillsdale,New York,12529,,
24097,for_sale,1575000,4,5,18.5,1708546,Hillsdale,New York,12529,3024,35423
45503,for_sale,595000,9,6,1.2,100060,Copake,New York,12517,5512,
52568,for_sale,429474,,,33.31,1313232,Hillsdale,New York,12529,,
52568,for_sale,450000,,,22,601692,Hillsdale,New York,12529,,
52568,for_sale,1500000,,,116.34,695893,Hillsdale,New York,12529,,
14081,for_sale,598500,3,3,4,152246,Copake,New York,12516,2240,
10368,for_sale,105000,4,2,22.52,1584616,Nassau,New York,12123,1795,
10368,for_sale,65000,,,6.98,1888023,Hoosick,New York,12090,,
32016,for_sale,159000,3,1,0.38,1468522,Millerton,New York,12546,1656,40028
10368,for_sale,50000,,,11,1866466,New Lebanon,New York,12125,,
77395,for_sale,120000,2,2,17.5,1760903,Pittstown,New York,12094,1431,
45329,for_sale,34000,,,2.1,1256083,Hoosick,New York,12090,,
45690,for_sale,254900,2,1,0.29,1745926,Berlin,New York,12153,1163,
22550,for_sale,39000,,,1.08,1917871,Sand Lake,New York,12018,,
9071,for_sale,57000,,,1.27,1863354,Millerton,New York,12546,,
10858,for_sale,375000,,,23,1839847,Chatham,New York,12037,,
73905,for_sale,1895000,,,89.9,1882723,Claverack,New York,12513,,
107913,for_sale,140000,,,73.6,1862119,Copake,New York,12517,,
9072,for_sale,67000,,,5.34,113847,New Lebanon,New York,12024,,
68030,for_sale,29500,,,5.84,1946043,Petersburgh,New York,12138,,
68030,for_sale,29500,,,5.04,1854512,Hoosick,New York,12028,,
89856,for_sale,68000,,,7.84,330599,Stephentown,New York,12168,,
89856,for_sale,39000,,,2.32,197802,Stephentown,New York,12168,,
23402,for_sale,89000,,,0.4,268048,Copake,New York,12516,,
89856,for_sale,89000,,,6.8,1937439,New Lebanon,New York,12212,,
26849,for_sale,120000,,,22.74,1869625,Claverack,New York,12513,,
89856,for_sale,44999,,,3.02,15124,Stephentown,New York,12168,,
67942,for_sale,160000,,,25,,Nassau,New York,12018,,
89856,for_sale,75000,,,5.45,1937439,New Lebanon,New York,12212,,
48974,for_sale,129000,,,3.3,1861185,Caroga,New York,13452,,
39686,for_sale,525000,,,,1916812,Craryville,New York,12521,,
94681,for_sale,499000,,,88,1917593,Canaan,New York,12029,,
73905,for_sale,450000,,,32,1785402,Ancram,New York,12503,,
104484,for_sale,700000,,,29.16,1880836,Nassau,New York,12169,,
61970,for_sale,19995,,,1.27,1877490,Hoosick Falls,New York,12090,,
22550,for_sale,53000,,,5.42,1983189,East Nassau,New York,12062,,
52568,for_sale,339900,8,6,1.35,1090432,Stephentown,New York,12168,2722,
61970,for_sale,69900,,,2.66,1449845,Hoosick,New York,12090,,39804
9071,for_sale,250000,,,127.49,1888911,New Lebanon,New York,12062,,
22550,for_sale,45000,,,1,1966231,Poestenkill,New York,12140,,
10368,for_sale,45000,,,1.95,1866476,Canaan,New York,12029,,
10368,for_sale,45000,,,1.95,1866447,Canaan,New York,12029,,
104484,for_sale,129000,,,24.62,555790,Nassau,New York,12018,,
89856,for_sale,139000,,,31.5,1937439,New Lebanon,New York,12212,,
23402,for_sale,849000,,,160,1548001,Hillsdale,New York,12529,,
54745,for_sale,500000,,,32.1,1844565,Claverack,New York,12513,,
22550,for_sale,1300000,4,4,37,1060423,East Nassau,New York,12062,4000,
61576,for_sale,79900,,,8.66,1852217,Hoosick,New York,12090,,
22550,for_sale,95000,,,68,1935280,Berlin,New York,12022,,
27628,for_sale,910000,3,3,288.92,1484038,White Creek,New York,12057,7834,
38575,for_sale,49900,2,1,0.13,179494,Schodack Landing,New York,12123,1200,34121
9072,for_sale,22000,,,1,1953566,Canaan,New York,12029,,
9071,for_sale,19000,,,1,1866447,Canaan,New York,12029,,
62113,for_sale,89900,,,16,1941591,Pittstown,New York,12094,,
62113,for_sale,59900,,,5,1941592,Pittstown,New York,12094,,
9071,for_sale,42000,,,3.79,1956848,Copake,New York,12516,,
41676,for_sale,75000,,,4.23,1243597,Stephentown,New York,12168,,
9072,for_sale,250000,,,127.49,1888911,New Lebanon,New York,12125,,
9072,for_sale,115000,,,8.4,1540106,Chatham,New York,12037,,
41606,for_sale,406000,,,127,988909,Nassau,New York,12123,,
7797,for_sale,250000,,,9.4,198600,Copake,New York,12516,,
94682,for_sale,499000,,,88,1917593,Canaan,New York,12029,,
89856,for_sale,151999,,,13.19,330599,Stephentown,New York,12168,,
94682,for_sale,895000,,,43.46,1953618,Copake,New York,12516,,
54745,for_sale,2100000,,,102,1844588,Claverack,New York,12513,,
73905,for_sale,1300000,,,127,1790619,Ancram,New York,12503,,
7797,for_sale,79000,,,9.06,1844479,Chatham,New York,12184,,
10368,for_sale,59900,,,9.02,1860017,Petersburgh,New York,12138,,
9072,for_sale,52000,,,5.9,1866466,New Lebanon,New York,12125,,
9071,for_sale,52000,,,5.9,1994341,New Lebanon,New York,12125,,
10368,for_sale,19900,,,2.09,1872806,Berlin,New York,99999,,
60629,for_sale,180000,,,35,1052374,Chatham,New York,12136,,
22550,for_sale,295000,10,5,1,1110720,Schodack Landing,New York,12123,5100,
89855,for_sale,151999,,,13.2,330600,Stephentown,New York,12168,,
